CustomerID,Frequency,AmountSpent
12347,27,75.54
12348,5,81.13
12349,16,53.57
12350,3,3.95
12352,17,109.7
12353,1,1.45
12354,11,47.39
12355,4,25.6
12356,10,38.82
12357,31,114.1
12358,2,11.9
12359,48,326.18
12360,25,110.51
12361,2,3.3
12362,56,242.06
12363,5,16.15
12364,18,64.16
12365,4,8.6
12367,2,0.63
12370,46,125.53
12371,8,25.7
12372,15,28.9
12373,3,6.55
12374,5,14.65
12375,5,49.16
12377,13,67.97
12378,45,146.84
12379,8,18.8
12380,22,80.93
12381,18,52.56
12383,16,73.86
12384,6,35.3
12386,2,2.9
12388,17,47.21
12390,6,13.58
12391,22,67.2
12393,13,25.75
12394,7,39.15
12395,25,112.75
12397,23,86.81
12398,17,26.12
12399,8,6.18
12401,1,10.95
12402,4,8.5
12403,1,18
12405,13,30.62
12406,29,61.1
12407,10,13.23
12408,21,42.21
12409,25,98.6
12410,5,28.8
12412,10,34.32
12413,5,14.61
12414,1,5.45
12415,143,299.79
12417,31,173.29
12418,6,23.08
12420,4,9.94
12421,10,43.57
12422,6,22.58
12423,25,85.04
12424,7,17.24
12425,8,29.95
12426,5,27.8
12427,8,22.5
12428,51,434.98
12429,18,48.79
12430,2,42.1
12431,47,156.47
12432,22,84.27
12433,84,171
12434,10,37.38
12435,11,77.81
12436,3,8.89
12437,37,168.08
12438,9,39.23
12442,1,2.95
12444,29,242.61
12445,2,2.7
12446,7,37.98
12447,4,27.19
12448,4,6.1
12449,38,143.85
12450,2,3.38
12451,73,166.21
12452,3,11.38
12453,7,15.12
12454,2,6.7
12455,15,76.88
12456,28,110.87
12457,8,53.14
12458,6,12.91
12461,9,25.58
12462,14,103.26
12463,13,37.38
12464,8,100.85
12465,13,25.15
12468,10,16.47
12471,91,328.65
12472,74,169.47
12473,34,80.87
12474,100,287.75
12475,11,25.22
12476,42,250.23
12477,61,338.1
12478,5,56.27
12479,6,10.9
12480,26,87.47
12481,38,104.93
12483,15,65.91
12484,77,242.62
12488,12,35.03
12489,2,7.05
12490,54,165.07
12491,4,8.8
12492,1,2.95
12493,2,3.3
12494,13,40.82
12497,1,0.85
12498,10,44.65
12500,9,50.77
12501,26,46.07
12502,28,228.1
12506,8,18.8
12507,4,15.92
12508,11,22.89
12509,2,1.7
12510,5,16.65
12512,6,13.7
12513,8,8.57
12514,9,41.95
12515,3,9.25
12516,6,7.66
12517,52,118.68
12518,28,77.73
12519,2,3.8
12520,28,146.39
12521,7,25.54
12522,3,9.59
12523,23,123.59
12524,27,76.05
12526,12,41.34
12527,5,26.28
12528,16,68.6
12530,11,42.96
12531,3,4.75
12532,1,8.25
12534,9,13.65
12535,7,29
12536,45,108.2
12538,2,18.2
12539,54,185.59
12540,89,389.57
12541,13,53.88
12544,7,49.33
12545,15,76.1
12546,13,32.75
12547,3,2.95
12548,1,1.45
12550,8,19.41
12551,1,1.25
12552,4,37.64
12553,26,82.62
12556,29,65.09
12557,5,8.55
12558,2,0.84
12559,5,11.64
12560,21,54.78
12561,2,5.37
12562,27,70.06
12564,2,7.9
12565,1,2.95
12566,1,1.25
12567,79,212.69
12569,39,217.19
12571,9,7.59
12572,13,56.34
12573,5,12.95
12574,2,20.95
12576,17,21.89
12577,26,53.04
12578,21,54.2
12579,7,34.77
12580,6,12.73
12581,4,3.72
12582,4,8.74
12583,45,120.04
12584,20,167.43
12585,16,56.84
12586,2,7.2
12589,4,6.33
12590,12,36.64
12591,6,21.8
12592,3,20.5
12593,3,21.75
12594,23,47.67
12596,5,32.06
12597,37,134.96
12598,29,65.74
12599,14,34.28
12600,13,72.65
12601,3,16.45
12602,2,13.2
12603,1,10.95
12604,4,21.75
12605,1,1.65
12607,45,82.52
12609,4,7.44
12610,18,66.25
12611,13,29.88
12612,5,18.85
12613,33,78.3
12614,5,35.65
12615,19,65.52
12616,6,33.1
12617,9,13.88
12618,4,9.15
12619,14,32.49
12620,16,32.65
12621,83,272.18
12623,5,8.55
12624,6,10.47
12625,9,6.3
12626,62,168.54
12627,44,142.4
12628,8,19.03
12630,11,27.65
12631,7,66
12633,17,39.07
12635,19,67.88
12637,79,295.4
12638,11,16.99
12639,2,1.9
12640,9,48.22
12641,1,1.65
12642,8,16.64
12643,1,2.55
12644,8,34.6
12645,16,49.95
12646,5,10.75
12647,25,120.2
12648,4,12.34
12649,4,7.35
12650,3,6.11
12652,11,37.77
12653,16,47.38
12654,4,10.8
12656,17,111.25
12657,10,42.56
12658,4,4.18
12659,1,18
12660,3,9.7
12662,40,131.91
12664,8,136.35
12667,9,26.03
12668,33,146.55
12669,16,59.69
12670,21,62.23
12672,2,10.5
12673,9,25.06
12674,17,60.34
12676,11,65.05
12678,35,59.03
12679,13,68.51
12680,9,24.29
12681,128,412.72
12682,90,326.25
12683,71,216.6
12684,14,30.79
12685,21,62.44
12686,4,21.12
12688,23,81.17
12689,9,19.45
12690,5,32.85
12691,5,9.65
12693,7,15.11
12694,7,9.4
12695,9,51.9
12697,7,13.87
12700,50,163.18
12701,9,44.77
12702,2,10.9
12703,6,9.25
12704,13,73.27
12705,60,174.34
12707,6,27.2
12708,39,138.76
12709,50,193.97
12710,10,13.87
12712,26,244.4
12713,8,14.1
12714,58,132.1
12715,7,12.14
12716,12,14.91
12717,9,74.08
12718,7,14.53
12719,8,50.2
12720,68,165.28
12721,19,51.13
12722,8,48.03
12723,13,21.24
12724,12,58.78
12725,2,6.35
12726,23,43.05
12727,27,128.27
12728,10,58.76
12729,8,41.65
12731,57,197.97
12732,2,1.7
12733,1,2.1
12734,1,1.95
12735,5,29.25
12736,2,2.37
12738,2,9.05
12739,9,33.14
12740,3,4.45
12743,21,75.73
12744,45,6618.64
12747,17,68.86
12748,852,3870.02
12749,39,157.41
12750,2,1.87
12752,13,33.86
12753,50,126.58
12754,10,11.25
12755,1,2.55
12757,68,1983.61
12758,16,19.91
12759,29,99.41
12762,10,24.57
12763,4,1.68
12764,12,60.8
12766,73,269.37
12769,3,18.58
12770,3,10.32
12772,8,26.57
12775,14,26.48
12778,8,21.95
12779,36,120.67
12781,6,45.54
12782,21,113.24
12783,16,423.35
12784,11,22.63
12785,3,20.25
12787,1,3.45
12790,5,23.72
12792,6,12.7
12793,5,33.64
12794,13,28.38
12795,5,28.68
12797,3,3.75
12798,2,2.15
12802,5,12.69
12808,9,35.88
12809,3,10.35
12811,5,12.7
12812,2,1.8
12815,6,58.15
12816,5,16.4
12818,4,3.67
12820,13,26.49
12821,1,0.85
12822,6,13.43
12824,6,11.43
12826,19,32.85
12827,4,4.45
12828,9,32.35
12829,2,40.14
12830,10,74.57
12832,6,23.63
12833,6,47.34
12834,2,4.65
12836,34,181.86
12837,2,9.9
12838,15,24.75
12839,55,111.9
12840,21,41.64
12841,84,165
12842,5,7.93
12843,23,70.71
12844,12,30.25
12845,3,11
12847,20,45.59
12849,11,31.32
12851,10,11.05
12852,6,13.7
12853,23,94.21
12854,16,44.19
12856,61,151.37
12857,13,69.15
12863,1,1.45
12864,1,0.83
12865,19,56.88
12866,3,5.85
12867,101,121.17
12868,23,64.16
12871,2,3.8
12872,15,36.95
12873,2,11.05
12876,13,39.14
12877,28,55.41
12878,7,18.4
12879,2,3.74
12882,2,10.47
12883,6,27.12
12884,1,5.95
12885,13,62.08
12886,15,54.42
12888,1,3.39
12890,13,39.01
12891,1,0.34
12893,7,15.57
12895,5,26.05
12897,1,1.45
12901,21,22.22
12902,1,3.75
12904,14,41.62
12906,12,36.75
12909,14,27.96
12910,14,27.6
12912,3,11.83
12913,12,27.81
12915,8,54.55
12916,24,78.99
12919,15,43.6
12920,4,28.6
12921,124,291.44
12922,5,6.95
12923,4,5.46
12924,7,28.07
12925,5,20.4
12928,15,24.11
12929,2,13.6
12930,2,3.8
12931,25,43.43
12933,15,39.3
12935,23,49.9
12936,11,20.18
12937,19,33.58
12939,8,12
12940,20,64.48
12942,14,49.33
12943,1,3.75
12944,8,28.44
12945,5,27.75
12947,17,67.73
12948,25,72.56
12949,39,100.95
12950,3,2.55
12951,16,62.4
12952,17,47.84
12953,3,14.95
12955,29,60.21
12956,3,21.59
12957,38,115.18
12962,3,5.9
12963,20,61.8
12965,21,70.42
12966,3,11.85
12967,6,20.4
12970,29,55.83
12971,43,114.99
12976,1,0.42
12977,1,8.5
12980,3,39.15
12981,4,5.6
12982,4,7.3
12984,1,2.95
12985,14,25.91
12987,3,14.65
12988,14,54.55
12989,16,45.86
12990,2,4.16
12991,8,17.01
12993,7,13.7
12994,11,44.7
12997,13,30.45
12999,8,8.89
13000,7,25
13001,66,161.43
13002,1,1.65
13003,2,2.5
13004,78,164.38
13005,3,13.45
13008,6,6.74
13012,17,51.92
13013,40,147.53
13014,23,122.95
13015,33,390.7
13016,8,17.95
13018,96,183.35
13021,22,74.24
13023,10,49.44
13026,7,4.05
13027,3,1.2
13028,12,14.12
13029,2,26.6
13030,15,44.51
13032,11,51.5
13033,3,6
13034,5,9.35
13035,7,13.6
13037,4,25.5
13038,4,11.9
13040,7,20.92
13043,1,8.5
13044,3,14.05
13045,2,3.33
13046,11,42.5
13047,34,128.6
13048,25,42.14
13049,3,17.55
13050,70,219.6
13052,1,1.25
13055,18,42.06
13058,1,5.45
13059,1,2.95
13060,3,6.25
13061,1,8.25
13062,4,43
13064,17,55.38
13065,3,13.32
13066,6,13.67
13067,4,20.8
13069,85,162.28
13070,1,2.08
13072,2,4.4
13075,3,4.15
13077,19,30.13
13078,80,292.75
13079,2,4.2
13081,186,418.98
13082,9,26.32
13083,8,35.92
13085,6,14.2
13089,321,838.26
13090,37,188.18
13091,4,4.81
13092,5,30.05
13093,29,76.23
13094,4,6.13
13095,1,0.39
13097,82,311.93
13098,99,334.12
13099,1,0.72
13101,1,0.39
13102,66,149.77
13104,1,1.45
13106,1,4.25
13107,12,26.95
13108,2,1.5
13109,14,31.14
13110,27,130.35
13113,48,155.56
13115,28,44.68
13116,8,30.01
13117,21,41.9
13118,11,36.77
13121,11,23.2
13122,9,11.63
13124,48,187.21
13126,23,45.83
13127,2,4.14
13131,7,29.8
13133,2,14.2
13134,15,32.02
13135,1,0.72
13136,25,66.11
13137,144,302.24
13138,8,20.42
13139,39,145.76
13140,9,25.59
13141,25,68.11
13142,2,0.84
13145,2,6.2
13146,6,9.57
13147,1,4.95
13148,57,231.94
13149,13,32.77
13151,17,100.15
13153,6,8.12
13154,1,611.86
13155,10,26
13157,12,40.72
13158,11,21.16
13159,20,55.04
13160,1,1.45
13162,14,15.78
13165,8,7.92
13166,6,13.2
13167,9,44.39
13168,23,80.19
13169,2,3.4
13170,7,10.47
13171,4,11.7
13173,9,20.05
13174,61,220.3
13176,16,29.16
13177,5,18.7
13178,47,84.92
13183,20,30.64
13184,32,53.99
13186,18,37.32
13187,6,29.6
13189,2,1.04
13192,11,35.78
13193,7,19.49
13194,2,7.2
13196,21,76.87
13198,38,72.39
13199,22,46.98
13200,6,29.55
13203,10,52.92
13207,4,12.68
13208,22,48.44
13209,67,147.29
13210,4,5.7
13211,11,24.4
13212,17,61.81
13213,20,69.5
13217,2,3.74
13218,1,0.21
13220,4,13.3
13221,15,72.1
13223,2,3.55
13224,18,41.03
13225,8,14.34
13226,3,3.35
13227,3,6.15
13229,4,10.6
13230,117,292.42
13232,33,117.56
13233,8,4.72
13235,9,26.12
13236,8,31.75
13238,8,53.57
13239,6,8.19
13240,15,39.94
13242,3,6.24
13243,13,75.43
13244,6,14.4
13245,4,20.5
13246,21,35.47
13247,8,16.35
13248,4,11.68
13249,5,7.1
13253,9,9.61
13255,3,21.15
13258,4,14.55
13259,21,47.72
13260,1,4.95
13262,1,0.29
13263,292,656
13265,23,56.08
13266,41,102.31
13267,45,155.15
13268,83,152.01
13269,67,194.06
13270,1,2.95
13271,14,13.76
13272,3,20.65
13273,5,6.32
13276,6,33.05
13277,2,2.9
13278,7,13.1
13279,2,7.2
13280,12,35.97
13282,5,16.58
13283,1,0.19
13284,3,15.32
13285,40,88.22
13291,8,30.99
13292,8,42.28
13294,8,28.3
13295,2,5.35
13297,8,27.23
13300,1,1.65
13301,22,52.88
13304,1,0.3
13305,15,43.46
13307,1,3.75
13308,15,59.06
13309,18,24.66
13310,18,82.46
13311,2,16.75
13313,15,31.9
13314,15,50.11
13316,15,46.39
13317,23,84.43
13318,3,4.65
13319,101,334.03
13320,24,51.26
13321,1,1.45
13322,6,12.74
13323,5,22.65
13324,15,18.57
13325,4,16.2
13327,23,54.8
13328,3,5.85
13329,6,19.2
13330,13,22.06
13332,3,16.15
13334,57,139.86
13336,12,38.72
13338,4,12.7
13339,15,56.4
13340,19,42.78
13341,6,41.2
13343,2,6.9
13344,13,57.94
13345,4,56.85
13347,2,2.71
13348,2,1.8
13349,2,2.7
13350,7,44.7
13351,6,19.04
13352,4,11.44
13354,13,14.97
13355,4,7.53
13356,11,53.43
13357,6,15.85
13358,8,25.47
13359,5,9.93
13362,27,116.88
13363,10,16.65
13364,5,9.75
13365,14,27.8
13368,6,9.22
13369,1,0.42
13370,7,19
13372,4,15.15
13373,29,78.05
13375,4,8.67
13376,8,12.8
13379,19,38.37
13381,40,145.5
13382,3,4.19
13384,23,69.86
13385,2,29.9
13388,6,17.6
13389,9,34.19
13390,3,8.35
13394,34,52.12
13395,3,2.58
13396,8,25.21
13397,8,24.04
13398,10,34.82
13402,12,31.83
13404,3,7.13
13405,6,26.23
13408,91,254.58
13410,5,12.85
13411,2,5.9
13414,1,2.25
13416,4,22.95
13417,8,41.33
13418,68,169.56
13419,6,7.03
13420,4,13.5
13421,14,32.77
13422,23,56.85
13425,23,69.01
13426,28,53.58
13427,7,10.34
13428,11,16.01
13429,18,27.68
13430,16,15.46
13431,13,41.11
13435,22,44.28
13436,2,28.9
13437,28,152.29
13439,13,20.93
13441,2,2.52
13447,14,39.82
13448,33,113.5
13449,4,10.53
13450,10,15.74
13451,84,177.2
13453,2,7.2
13455,10,56.34
13456,9,33.05
13458,73,198.22
13460,3,1.26
13461,5,9.17
13462,2,4.2
13464,4,14.59
13466,5,26.92
13467,17,41.64
13468,56,246.6
13470,2,3.3
13471,48,144.28
13473,4,27.48
13474,8,17.4
13475,19,78.72
13476,7,22.6
13477,12,37.04
13479,1,7.5
13481,15,27.05
13482,1,2.95
13483,1,0.42
13485,3,6.15
13486,18,50.4
13487,4,15.27
13488,82,283.27
13489,2,1.78
13491,17,51.41
13492,12,65.7
13493,1,40
13494,4,20.8
13495,9,18.75
13496,9,20.49
13497,3,10.15
13499,7,19.15
13500,18,58.61
13501,13,56.01
13502,4,10
13503,1,0.42
13504,1,0.42
13505,33,123.22
13506,4,8.3
13507,28,102.5
13508,2,7.2
13509,7,21.95
13510,22,41.06
13512,4,15.7
13513,2,3.3
13515,8,10.87
13516,5,13.65
13517,27,82.4
13518,14,49.05
13520,19,146.17
13521,75,129.11
13522,1,1.25
13523,41,413.36
13524,2,4.44
13525,3,8.95
13527,35,105.94
13529,4,29.15
13531,6,24.98
13532,15,39.44
13533,9,15.24
13534,66,191.67
13536,33,106.06
13538,3,24.45
13539,8,34.95
13544,15,48.34
13546,22,34.01
13548,21,41.61
13549,6,30.23
13551,1,5.95
13552,19,66.29
13555,28,66.04
13557,2,0.84
13558,31,60.22
13560,4,13.8
13561,1,2.1
13562,11,47.28
13563,15,48.62
13564,14,598.31
13565,6,10.87
13566,28,57.38
13568,13,49.5
13569,13,48.91
13570,5,14.49
13571,66,108.01
13572,4,40.45
13573,5,15.95
13575,11,23.07
13576,28,70.62
13577,15,44.25
13579,4,16.2
13581,5,20.55
13583,5,6.2
13584,9,21.05
13587,1,2.1
13588,30,39.13
13589,3,29.6
13590,19,46.06
13591,8,21.87
13592,2,11.78
13593,27,98.23
13594,2,1.67
13596,34,65.34
13598,14,55.86
13599,49,119.38
13600,4,12.06
13601,12,20.03
13602,3,4.68
13603,4,5.31
13606,8,13.28
13607,19,52.39
13610,52,136.26
13611,13,28.35
13614,37,131.49
13615,3,13.85
13617,9,29.03
13618,3,0.87
13621,3,7.05
13623,7,37.65
13626,4,10.94
13627,27,70.17
13629,11,38.18
13630,18,37.28
13631,4,27.7
13632,31,84.37
13634,33,105.94
13635,9,20.77
13636,16,51.56
13637,23,60.14
13638,3,14.42
13639,5,5
13642,12,22.09
13643,2,4.16
13644,21,46.35
13645,1,2.55
13647,13,38.37
13649,5,10.55
13650,15,42.57
13651,2,18.75
13652,12,53.1
13654,26,73.14
13655,10,19.09
13656,10,27.1
13657,5,9.11
13658,20,54.38
13659,20,76.18
13662,11,40.75
13663,3,16.92
13666,5,20.65
13667,19,49.35
13668,93,254.92
13669,2,3.01
13670,4,4.35
13672,2,8.44
13673,10,24.33
13675,5,7.32
13678,4,1.76
13680,42,103.04
13681,6,18.4
13682,1,4.25
13684,10,18.1
13685,7,4.39
13686,1,2.1
13689,1,1.79
13690,1,0.65
13692,9,61.07
13693,2,9.2
13694,122,193.44
13695,22,52.15
13697,5,5.42
13699,3,16.69
13700,44,69.4
13704,23,74.84
13705,6,172.79
13706,6,29.48
13707,10,46.1
13708,7,8.97
13709,58,205.38
13710,1,1.65
13711,1,9.95
13712,2,1.11
13715,18,37.79
13716,3,3.59
13717,17,35.85
13718,1,7.95
13719,6,12.28
13720,10,31.9
13721,8,18.54
13722,14,48.05
13725,14,81.25
13726,6,4.62
13727,3,5.3
13728,10,55.4
13730,7,19.41
13731,3,8.45
13732,5,6.65
13735,36,180.87
13736,34,71.77
13737,6,30.3
13740,5,10.43
13741,5,11.63
13742,62,285.38
13743,6,8.1
13744,17,25.36
13745,5,3.5
13748,6,19.14
13750,2,14.2
13751,2,8.37
13752,12,68.15
13753,5,5.42
13754,4,7.45
13755,59,148.3
13756,26,63.27
13758,21,54.64
13759,4,12.14
13760,8,13.05
13761,5,16.37
13762,6,7.37
13763,4,10.24
13764,44,126.61
13767,63,256.19
13769,25,77.82
13771,16,50.19
13772,30,91.95
13774,4,8.1
13777,49,99.76
13778,3,11.8
13780,11,23.5
13781,4,9.68
13782,27,69.8
13784,5,7.93
13787,5,17.89
13790,8,2.62
13791,4,5.07
13792,2,18.45
13798,83,205.29
13799,12,33.8
13800,4,12.6
13801,6,26.85
13802,13,45.18
13804,24,82.21
13805,2,1.87
13806,2,15.7
13807,2,9.6
13808,14,43.35
13809,4,38.6
13810,10,24.96
13811,5,41.25
13812,7,26.98
13813,14,39.82
13814,8,33.75
13815,27,59.12
13816,8,30.95
13817,2,6.2
13819,6,13.7
13821,14,62.11
13822,22,32.59
13823,11,43.54
13824,8,22.34
13826,2,10.5
13827,15,54.22
13828,2,3.3
13831,13,54.2
13832,1,1.45
13833,8,43
13835,9,25.38
13837,4,7.53
13838,37,108.92
13842,34,161.98
13844,5,13.12
13845,3,7.53
13846,5,32.55
13849,15,52.12
13850,13,28.42
13851,20,45.07
13853,2,3.73
13854,31,122.15
13856,4,3.3
13859,6,10.58
13860,11,44.31
13862,27,42.48
13863,7,22.44
13865,4,9.3
13866,1,2.95
13867,14,61.93
13868,10,22.4
13869,56,176.69
13870,23,88.07
13871,65,212.76
13873,3,9.39
13874,2,3.8
13875,18,23.74
13876,1,4.95
13878,9,53.23
13880,32,115.07
13881,30,70.05
13882,20,85.43
13883,28,86.09
13884,11,41.8
13885,9,32.8
13886,6,25.35
13887,1,5.45
13888,5,24.19
13889,3,12
13890,28,94.81
13892,12,13.42
13893,3,20.85
13894,1,2.1
13895,25,87.6
13897,5,6.07
13899,3,10.45
13900,8,33.68
13901,26,77.65
13904,7,8.75
13908,20,42.15
13911,20,45.65
13914,8,15.52
13917,5,4.97
13918,4,8.8
13919,6,3.75
13922,4,21.6
13923,2,1.21
13924,23,67.04
13925,12,110.42
13926,2,40.37
13927,4,15.2
13928,4,24.34
13929,1,9.95
13930,3,7.55
13931,10,26.78
13932,3,20.25
13933,3,5.85
13934,11,35.85
13936,5,8.94
13937,3,2.75
13938,1,0.83
13939,9,7.75
13940,8,28.74
13941,12,34.1
13946,1,4.95
13947,1,1.65
13949,31,49.74
13950,6,29.03
13951,7,18.02
13952,30,126.69
13953,3,4.6
13954,5,28.15
13955,7,22.69
13956,28,85.69
13958,2,15.7
13959,16,32.67
13960,2,3.8
13962,2,3.2
13963,8,25.05
13969,128,330.16
13971,32,78.44
13972,6,14.82
13974,7,10.28
13975,63,145.58
13976,1,3.75
13978,5,4.09
13979,12,21.55
13980,2,12.79
13982,25,53.79
13983,21,69.28
13984,3,8.96
13985,52,103.58
13986,4,8
13988,46,132.57
13989,7,19.98
13990,3,5.05
13991,20,31.27
13992,1,0.85
13993,22,106.7
13994,29,96.91
13995,11,13.63
13999,49,106.03
14000,2,1.14
14001,14,47.66
14002,10,7.69
14004,36,85.97
14005,15,60.21
14006,3,4.55
14009,6,24.1
14012,1,4.95
14013,4,3.52
14014,9,5.92
14015,3,10.89
14016,22,108.84
14019,11,20.13
14020,6,18.36
14021,4,22.4
14022,5,8.12
14023,7,18.05
14024,5,12.01
14027,2,4.16
14029,3,20.09
14030,34,104.49
14031,39,154.01
14032,33,63.39
14034,15,22.73
14035,10,17.19
14036,11,41.87
14037,4,13.4
14038,28,52.07
14039,2,3.3
14040,35,136.83
14041,3,8.3
14044,32,93
14045,2,10.15
14046,5,1.38
14047,9,44.25
14048,24,49.64
14049,97,242.06
14050,12,18.27
14051,48,219.28
14052,4,11.8
14053,1,1.95
14054,1,1.65
14055,3,24.6
14056,217,632.62
14057,54,97.55
14060,35,42.74
14062,19,52.37
14064,17,28.59
14067,7,6.26
14068,3,15.7
14071,60,146.74
14073,1,2.08
14075,6,14.63
14076,7,24.1
14077,7,17.93
14078,6,17.95
14080,2,2.1
14081,34,105.78
14082,3,15.85
14083,33,109.97
14085,68,151.27
14087,11,15.62
14088,114,547.14
14089,1,1.65
14092,38,122.86
14093,21,40.85
14096,968,9070.44
14098,3,10.08
14099,55,143.57
14100,4,15.5
14101,5,8.04
14102,16,34.34
14104,5,23.65
14105,21,70.81
14107,27,57.25
14108,4,4.87
14109,3,4.2
14110,29,74.57
14111,1,0.55
14112,38,114.86
14113,8,19.95
14114,4,25.14
14116,13,44.4
14121,25,54.93
14125,29,105.91
14126,2,4.9
14127,7,34.58
14128,7,19.55
14129,12,31.67
14130,10,43.95
14132,39,68.56
14133,11,60.13
14135,31,86.63
14138,6,12.02
14139,2,3.31
14140,17,25.31
14141,8,29
14142,2,3.24
14143,2,7.5
14145,1,4.95
14146,33,90.31
14147,1,8.5
14149,5,8.73
14150,6,9.56
14152,7,5.64
14154,11,249.58
14155,1,5.95
14156,255,944.23
14157,12,30.37
14158,9,10.38
14159,234,332.59
14161,17,49.68
14162,2,1.74
14163,8,37.03
14164,6,11.18
14165,2,5.05
14167,3,18.45
14171,12,36
14173,3,18.2
14174,6,9.32
14175,34,146.94
14176,5,13.45
14177,5,18.24
14178,56,77.7
14179,35,94.67
14180,50,560.55
14184,5,33.55
14188,16,37.07
14189,47,119.43
14191,37,93.02
14193,9,18.59
14194,105,341.51
14195,2,17.6
14196,2,4
14198,6,34.6
14201,10,37.77
14204,9,35.77
14205,10,35.13
14206,4,5.57
14208,2,17.45
14209,13,57.95
14210,18,63.6
14211,25,69.62
14212,2,1.14
14213,2,12.6
14214,12,37.15
14215,25,56.33
14216,13,42.89
14217,22,118.02
14218,3,2.89
14219,3,6.24
14220,4,6.03
14221,36,122.3
14222,5,9.02
14223,16,73.31
14224,19,62.63
14226,14,55.08
14227,32,97.08
14229,8,41.74
14231,11,33.51
14232,19,30.76
14233,7,16.99
14234,31,55.3
14235,15,37.5
14236,1,0.42
14237,5,33.55
14238,1,0.65
14239,23,87.23
14240,9,18.48
14241,3,5.25
14242,3,17.65
14243,29,112.17
14245,23,62.82
14246,16,41.44
14247,5,27.75
14248,1,0.85
14250,23,53.27
14251,12,21.36
14256,12,48.88
14257,15,26.61
14258,32,119.79
14261,8,58.24
14262,30,56.3
14264,2,13.2
14265,3,22.02
14267,14,77.92
14270,4,14
14271,2,3.37
14272,6,6.96
14273,8,20.36
14276,8,13.33
14277,43,215.34
14280,1,1.65
14282,20,25.22
14284,8,35.1
14285,4,18.94
14286,50,79.32
14287,3,7.75
14288,4,7.5
14289,11,58.13
14290,13,79.8
14291,39,130.15
14292,22,78.43
14293,8,15.75
14297,14,36.78
14298,294,424.04
14299,24,80.87
